Ubicación; dip; dipAz; Brunton_dip; Brunton_dipAz;Modelo celular;Dif_Dip;Dif_DipDir
Aflor1;60;188;60;195;Iphone 13 ProMax;0;-7
Aflor1;67;123;70;127;Iphone 13 ProMax;-3;-4
Aflor1;52;159;52;165;Iphone 13 ProMax;0;-6
Aflor1;71;121;70;121;Iphone 13 ProMax;1;0
Aflor1;53;213;50;115;Iphone 13 ProMax;3;98
Aflor1;74;119;75;126;Iphone 13 ProMax;-1;-7
Aflor1;63;155;62;161;Iphone 13 ProMax;1;-6
Aflor1;57;229;55;227;Iphone 13 ProMax;2;2
Aflor1;83;76;75;85;Iphone 13 ProMax;8;-9
Aflor1;60;181;61;186;Iphone 13 ProMax;-1;-5
Aflor1;61;179;58;141;Oukitel G1;3;38
Aflor1;43;126;41;134;Oukitel G1;2;-8
Aflor1;52;154;50;169;Oukitel G1;2;-15
Aflor1;65;183;64;160;Oukitel G1;1;23
Aflor1;60;233;56;233;Oukitel G1;4;0
Aflor1;52;209;51;221;Oukitel G1;1;-12
Aflor1;79;129;78;129;Oukitel G1;1;0
Aflor1;75;120;74;130;Oukitel G1;1;-10
Aflor1;70;206;74;215;Oukitel G1;-4;-9
Aflor1;84;188;84;185;Oukitel G1;0;3
Aflor1;57;170;61;174;Infinix Note 50S;-4;-4
Aflor1;49;185;60;191;Infinix Note 50S;-11;-6
Aflor1;57;180;61;196;Infinix Note 50S;-4;-16
Aflor1;62;178;65;189;Infinix Note 50S;-3;-11
Aflor1;40;140;43;140;Infinix Note 50S;-3;0
Aflor1;57;146;52;159;Infinix Note 50S;5;-13
Aflor1;46;200;51;217;Infinix Note 50S;-5;-17
Aflor1;57;142;55;123;Infinix Note 50S;2;19
Aflor1;71;171;75;159;Infinix Note 50S;-4;12
Aflor1;76;204;80;212;Infinix Note 50S;-4;-8
Aflor1;62;168;69;165;Redmi Note 8 Pro;-7;3
Aflor1;86;240;82;281;Redmi Note 8 Pro;4;-41
Aflor1;80;325;81;360;Redmi Note 8 Pro;-1;-35
Aflor1;90;164;87;108;Redmi Note 8 Pro;3;56
Aflor1;82;143;82;112;Redmi Note 8 Pro;0;31
Aflor1;83;291;76;295;Redmi Note 8 Pro;7;-4
Aflor1;86;194;90;195;Redmi Note 8 Pro;-4;-1
Aflor1;83;94;81;105;Redmi Note 8 Pro;2;-11
Aflor1;77;12;86;13;Redmi Note 8 Pro;-9;-1
Aflor1;78;273;81;293;Redmi Note 8 Pro;-3;-20
Aflor2;68;147;68;154;Oukitel G1;0;-7
Aflor2;70;148;68;150;Oukitel G1;2;-2
Aflor2;81;313;83;318;Oukitel G1;-2;-5
Aflor2;45;292;44;292;Oukitel G1;1;0
Aflor2;69;105;66;114;Oukitel G1;3;-7
Aflor2;74;279;73;280;Oukitel G1;1;-1
Aflor2;68;155;69;154;Oukitel G1;-1;1
Aflor2;66;331;64;333;Oukitel G1;2;-2
Aflor2;45;298;44;300;Oukitel G1;1;-2
Aflor2;54;287;54;288;Oukitel G1;0;-1
Aflor2;74;30;74;34;Iphone 13 ProMax;0;-4
Aflor2;84;312;84;318;Iphone 13 ProMax;0;-6
Aflor2;80;34;81;41;Iphone 13 ProMax;-1;-7
Aflor2;56;282;55;285;Iphone 13 ProMax;1;-3
Aflor2;50;70;51;75;Iphone 13 ProMax;-1;-5
Aflor2;84;149;86;174;Iphone 13 ProMax;-2;-25
Aflor2;69;265;70;265;Iphone 13 ProMax;-1;0
Aflor2;67;85;64;80;Iphone 13 ProMax;3;5
Aflor2;59;276;59;282;Iphone 13 ProMax;0;-6
Aflor2;53;266;53;273;Iphone 13 ProMax;0;-7
Aflor2;48;234;63;234;Infinix Note 50S;-15;0
Aflor2;72;174;71;171;Infinix Note 50S;1;3
Aflor2;67;296;75;289;Infinix Note 50S;-8;7
Aflor2;34;93;24;94;Infinix Note 50S;10;-1
Aflor2;55;175;57;170;Infinix Note 50S;-2;5
Aflor2;50;185;56;181;Infinix Note 50S;-6;4
Aflor2;80;327;77;324;Infinix Note 50S;3;3
Aflor2;82;167;86;166;Infinix Note 50S;-4;1
Aflor2;80;66;80;66;Infinix Note 50S;0;0
Aflor2;67;108;67;110;Infinix Note 50S;0;-2
Aflor2;71;101;73;98;Redmi Note 8 Pro;-2;3
Aflor2;71;340;67;338;Redmi Note 8 Pro;4;2
Aflor2;81;240;85;248;Redmi Note 8 Pro;-4;-8
Aflor2;64;116;65;99;Redmi Note 8 Pro;-1;17
Aflor2;49;301;47;305;Redmi Note 8 Pro;2;-4
Aflor2;84;39;90;19;Redmi Note 8 Pro;-6;20
Aflor2;80;317;75;303;Redmi Note 8 Pro;5;14
Aflor2;66;319;61;319;Redmi Note 8 Pro;5;0
Aflor2;79;326;79;316;Redmi Note 8 Pro;0;10
Aflor2;86;324;83;350;Redmi Note 8 Pro;3;-26
